,Candidat,Circ,Departement,Parti,Score
1403,Pierre Lacaze,1.0,-circonscription-haute-garonne,Front de gauche,"9,01%"
1404,Marie-Pierre Cassagne,1.0,-circonscription-haute-garonne,EELV,"6,49%"
1405,Jean-Jacques Bolzan,1.0,-circonscription-haute-garonne,Parti radical valoisien,"3,18%"
1406,Michel Amorosa,1.0,-circonscription-haute-garonne,Parti pirate,"0,90%"
1407,Marie-Colette Chaudoreille,1.0,-circonscription-haute-garonne,Alliance écologiste indépendante,"0,75%"
1408,Bettina Pichon,1.0,-circonscription-haute-garonne,NPA,"0,66%"
1409,Henri-Pierre Colombo,1.0,-circonscription-haute-garonne,Sans étiquette,"0,53%"
1410,Aude Garnier,1.0,-circonscription-haute-garonne,Debout la République,"0,49%"
1411,Jean-Pierre Sertillange,1.0,-circonscription-haute-garonne,Lutte ouvrière,"0,33%"
1412,Robert Baud,1.0,-circonscription-haute-garonne,MEI,"0,32%"
1413,Pierre Serveille,1.0,-circonscription-haute-garonne,"
									Démocratie réelle									","0,24%"
1414,Pierre Pezzin,1.0,-circonscription-haute-garonne,"
									Pour un langage citoyen									","0,09%"
1415,Hélène Porceddu,1.0,-circonscription-haute-garonne,"
									Union républicaine populaire									","0,08%"
1416,Anthony Rouja,1.0,-circonscription-haute-garonne,Sans étiquette,"0,00%"
1417,Gérard Bapt,2.0,-circonscription-haute-garonne,Parti socialiste,"46,38%"
1418,Nicolas Bonleux,2.0,-circonscription-haute-garonne,UMP,"21,63%"
1419,Séverine Cavin,2.0,-circonscription-haute-garonne,Rassemblement bleu Marine,"12,46%"
1420,Charles Marziani,2.0,-circonscription-haute-garonne,Front de gauche,"7,86%"
1421,Cécile Péguin,2.0,-circonscription-haute-garonne,EELV,"4,45%"
1422,André Gallego,2.0,-circonscription-haute-garonne,Parti radical valoisien,"2,13%"
1423,Raphaël Isla,2.0,-circonscription-haute-garonne,Parti pirate,"1,21%"
1424,Jacqueline Escudié,2.0,-circonscription-haute-garonne,Alliance écologiste indépendante,"0,99%"
1425,Jean-Louis Thomas,2.0,-circonscription-haute-garonne,Debout la République,"0,94%"
1426,Fanny Fontugne,2.0,-circonscription-haute-garonne,NPA,"0,53%"
1427,Patrick Le Bihan,2.0,-circonscription-haute-garonne,CNIP,"0,45%"
1428,Jean Alamichel,2.0,-circonscription-haute-garonne,Nouveau centre,"0,42%"
1429,Michel Laserge,2.0,-circonscription-haute-garonne,Lutte ouvrière,"0,33%"
1430,Josette Augé,2.0,-circonscription-haute-garonne,"
									Union républicaine populaire									","0,13%"
1431,Jean-Claude Michavila,2.0,-circonscription-haute-garonne,"
									Mouvement Allez la vie									","0,10%"
1432,Jean-Luc Moudenc,3.0,-circonscription-haute-garonne,UMP,"35,14%"
1433,François Simon,3.0,-circonscription-haute-garonne,EELV,"22,24%"
1434,Alain Fillola,3.0,-circonscription-haute-garonne,Divers gauche,"21,36%"
1435,Sandrine Cabioch,3.0,-circonscription-haute-garonne,Rassemblement bleu Marine,"7,81%"
1436,Martine Croquette,3.0,-circonscription-haute-garonne,Front de gauche,"6,42%"
1437,Laurence Massat Guiraud-Chaumeil,3.0,-circonscription-haute-garonne,Parti radical valoisien,"3,23%"
1438,Nicolas Canzian,3.0,-circonscription-haute-garonne,Alliance écologiste indépendante,"1,19%"
1439,Marie-Claire Danen,3.0,-circonscription-haute-garonne,Divers droite,"1,03%"
1440,Carole Fabre,3.0,-circonscription-haute-garonne,Parti pirate,"0,73%"
1441,Thomas Couderette,3.0,-circonscription-haute-garonne,Parti des objecteurs de croissance,"0,42%"
1442,Sandra Torremocha,3.0,-circonscription-haute-garonne,Lutte ouvrière,"0,25%"
1443,Clément Satger,3.0,-circonscription-haute-garonne,Solidarité & Progrès,"0,13%"
1444,Monique Crevelle,3.0,-circonscription-haute-garonne,"
									Mouvement anti-radar									","0,05%"
1445,Martine Martinel,4.0,-circonscription-haute-garonne,Parti socialiste,"42,13%"
1446,Bertrand Serp,4.0,-circonscription-haute-garonne,UMP,"21,27%"
1447,Monique Durrieu,4.0,-circonscription-haute-garonne,Front de gauche,"9,51%"
1448,Sabrina Bazouin,4.0,-circonscription-haute-garonne,Rassemblement bleu Marine,"8,92%"
1449,Régis Godec,4.0,-circonscription-haute-garonne,EELV,"7,92%"
1450,Stéphane Diebold,4.0,-circonscription-haute-garonne,Divers droite,"2,87%"
1451,Yvette Benayoun-Nakache,4.0,-circonscription-haute-garonne,Le Centre pour la France,"1,84%"
1452,Philippe Mattei,4.0,-circonscription-haute-garonne,Parti pirate,"1,48%"
1453,Alexandre Trillou,4.0,-circonscription-haute-garonne,Alliance centriste,"1,15%"
1454,Sandy Velasco,4.0,-circonscription-haute-garonne,Alliance écologiste indépendante,"0,91%"
1455,Hegoa Garay,4.0,-circonscription-haute-garonne,NPA,"0,63%"
1456,Sandra Mourgues,4.0,-circonscription-haute-garonne,La gauche moderne,"0,55%"
1457,Patrick Marcireau,4.0,-circonscription-haute-garonne,Lutte ouvrière,"0,30%"
1458,David Veyssere,4.0,-circonscription-haute-garonne,"
									Mouvement anti-radar									","0,20%"
1459,Thierry Dupin,4.0,-circonscription-haute-garonne,Parti ouvrier indépendant,"0,17%"
1460,Cédric Gougeon,4.0,-circonscription-haute-garonne,Solidarité & Progrès,"0,15%"
1461,Françoise Imbert,5.0,-circonscription-haute-garonne,Parti socialiste,"44,60%"
1462,Grégoire Carneiro,5.0,-circonscription-haute-garonne,UMP,"24,72%"
1463,Guy Jovelin,5.0,-circonscription-haute-garonne,Rassemblement bleu Marine,"16,52%"
1464,Monique Marconis,5.0,-circonscription-haute-garonne,Front de gauche,"6,33%"
1465,Raphaël Quessada,5.0,-circonscription-haute-garonne,Parti radical valoisien,"2,22%"
1466,Martine Boudet,5.0,-circonscription-haute-garonne,Partit occitan,"2,09%"
1467,Olivier Lecoq-Kromwel,5.0,-circonscription-haute-garonne,Alliance écologiste indépendante,"0,84%"
1468,Vincent Combes,5.0,-circonscription-haute-garonne,Lutte ouvrière,"0,57%"
1469,Eric Mahuet,5.0,-circonscription-haute-garonne,Parti pirate,"0,55%"
1470,Michel Raynal,5.0,-circonscription-haute-garonne,MEI,"0,52%"
1471,François Jouglar,5.0,-circonscription-haute-garonne,NPA,"0,48%"
1472,Alain Van Gaver,5.0,-circonscription-haute-garonne,MPF,"0,31%"
1473,Vincent Crousier,5.0,-circonscription-haute-garonne,Solidarité & Progrès,"0,25%"
1474,Monique Iborra,6.0,-circonscription-haute-garonne,Parti socialiste,"44,95%"
1475,Jocelyne Vidal,6.0,-circonscription-haute-garonne,UMP,"20,70%"
1476,Michèle Pellizzon,6.0,-circonscription-haute-garonne,Rassemblement bleu Marine,"13,64%"
1477,Alain Refalo,6.0,-circonscription-haute-garonne,EELV,"7,06%"
1478,Rémi Vincent,6.0,-circonscription-haute-garonne,Front de gauche,"6,13%"
1479,Marthe Marti,6.0,-circonscription-haute-garonne,Le Centre pour la France,"3,22%"
1480,Jérémy Collot,6.0,-circonscription-haute-garonne,Parti pirate,"1,10%"
1481,Grigori Michel,6.0,-circonscription-haute-garonne,Nouveau centre,"0,84%"
1482,Fabrice Guin,6.0,-circonscription-haute-garonne,Alliance écologiste indépendante,"0,78%"
1483,Michèle Puel,6.0,-circonscription-haute-garonne,Lutte ouvrière,"0,55%"
1484,Florian Gely,6.0,-circonscription-haute-garonne,NPA,"0,46%"
1485,Sylvain Roques,6.0,-circonscription-haute-garonne,MPF,"0,36%"
1486,Guy Syry,6.0,-circonscription-haute-garonne,Solidarité & Progrès,"0,20%"
1487,Patrick Lemasle,7.0,-circonscription-haute-garonne,Parti socialiste,"45,13%"
1488,Corinne Viansson-Ponte,7.0,-circonscription-haute-garonne,UMP,"21,32%"
1489,Serge Laroze,7.0,-circonscription-haute-garonne,Rassemblement bleu Marine,"17,65%"
1490,Danielle Tensa,7.0,-circonscription-haute-garonne,Front de gauche,"7,79%"
1491,Christian Valade,7.0,-circonscription-haute-garonne,EELV,"4,83%"
1492,Roger Strobel,7.0,-circonscription-haute-garonne,Alliance écologiste indépendante,"1,07%"
1493,Cyril Walter,7.0,-circonscription-haute-garonne,MPF,"0,85%"
1494,Anne-Marie Laflorentie,7.0,-circonscription-haute-garonne,Lutte ouvrière,"0,71%"
1495,Noëlle Calvinhac,7.0,-circonscription-haute-garonne,NPA,"0,65%"
1496,Carole Delga,8.0,-circonscription-haute-garonne,Parti socialiste,"51,62%"
1497,Martine Rieu-Griffe,8.0,-circonscription-haute-garonne,UMP,"18,31%"
1498,Nadine Voloscenko,8.0,-circonscription-haute-garonne,Rassemblement bleu Marine,"12,32%"
1499,Patrick Boube,8.0,-circonscription-haute-garonne,Front de gauche,"10,08%"
1500,Michèle Constan,8.0,-circonscription-haute-garonne,EELV,"2,81%"
1501,Jacqueline Winnepenninckx-Kieser,8.0,-circonscription-haute-garonne,Le Centre pour la France,"1,96%"
1502,André Pagnac,8.0,-circonscription-haute-garonne,Debout la République,"1,34%"
1503,Nicolas Motschwiller,8.0,-circonscription-haute-garonne,Alliance écologiste indépendante,"0,72%"
1504,Martine Guiraud,8.0,-circonscription-haute-garonne,Lutte ouvrière,"0,59%"
1505,Chantal Mondain,8.0,-circonscription-haute-garonne,Le Trèfle,"0,25%"
1506,Christophe Borgel,9.0,-circonscription-haute-garonne,Parti socialiste,"29,88%"
1507,Elisabeth Pouchelon,9.0,-circonscription-haute-garonne,UMP,"20,68%"
1508,Thierry Cotelle,9.0,-circonscription-haute-garonne,MRC,"15,04%"
1509,Théo Buras,9.0,-circonscription-haute-garonne,Rassemblement bleu Marine,"11,97%"
1510,Jean-Marc Barès,9.0,-circonscription-haute-garonne,Front de gauche,"9,30%"
1511,Christine Arrighi,9.0,-circonscription-haute-garonne,EELV,"6,24%"
1512,Eric Gautier,9.0,-circonscription-haute-garonne,Le Centre pour la France,"3,54%"
1513,Raphaël Durand,9.0,-circonscription-haute-garonne,Parti pirate,"0,85%"
1514,Marie-Pierre Rockstroh-Rosso,9.0,-circonscription-haute-garonne,Alliance écologiste indépendante,"0,68%"
1515,Patrick Brisset,9.0,-circonscription-haute-garonne,NPA,"0,56%"
1516,Zohra Slimane,9.0,-circonscription-haute-garonne,Divers droite,"0,55%"
1517,Henri Martin,9.0,-circonscription-haute-garonne,Lutte ouvrière,"0,48%"
1518,Claire Crousier-Arniella,9.0,-circonscription-haute-garonne,Solidarité & Progrès,"0,24%"
1519,Kader Arif,10.0,-circonscription-haute-garonne,Parti socialiste,"30,84%"
1520,Dominique Faure,10.0,-circonscription-haute-garonne,Parti radical valoisien,"24,41%"
1521,Gilbert Hébrard,10.0,-circonscription-haute-garonne,Divers gauche,"16,02%"
1522,Marie Lopau,10.0,-circonscription-haute-garonne,Rassemblement bleu Marine,"10,33%"
1523,Christian Picquet,10.0,-circonscription-haute-garonne,Front de gauche,"6,24%"
1524,Didier Rod,10.0,-circonscription-haute-garonne,EELV,"5,15%"
1525,Jean-Pierre Albouy,10.0,-circonscription-haute-garonne,Nouveau centre,"2,59%"
1526,Daniel Ruffat,10.0,-circonscription-haute-garonne,Divers gauche,"1,99%"
1527,Laurent Fontaneau,10.0,-circonscription-haute-garonne,Alliance écologiste indépendante,"0,94%"
1528,Laurent Cunin,10.0,-circonscription-haute-garonne,Parti du vote blanc,"0,62%"
1529,Raymond Coustures,10.0,-circonscription-haute-garonne,NPA,"0,43%"
1530,Antoine Missier,10.0,-circonscription-haute-garonne,Lutte ouvrière,"0,24%"
1531,Jacques Dumeunier,10.0,-circonscription-haute-garonne,Parti ouvrier indépendant,"0,19%"
1532,Philippe Martin,1.0,-circonscription-gers,Parti socialiste,"52,36%"
1533,Douce de Franclieu,1.0,-circonscription-gers,UMP,"20,93%"
1534,Marcelle Girot,1.0,-circonscription-gers,Rassemblement bleu Marine,"9,79%"
1535,Maryse Dellac,1.0,-circonscription-gers,Front de gauche,"5,66%"
1536,Philippe Le Goanvic,1.0,-circonscription-gers,EELV,"3,64%"
1537,Eliane Crepel,1.0,-circonscription-gers,Le Centre pour la France,"2,22%"
1538,Florence Giroir,1.0,-circonscription-gers,Parti radical valoisien,"1,63%"
1539,Jean Falco,1.0,-circonscription-gers,Les alternatifs,"1,31%"
1540,Sylvie Cabella,1.0,-circonscription-gers,Debout la République,"1,28%"
1541,Annie-Claude Prévot,1.0,-circonscription-gers,Sans étiquette,"0,74%"
1542,Jean-Louis Chareton,1.0,-circonscription-gers,Lutte ouvrière,"0,45%"
1543,Gisèle Biémouret,2.0,-circonscription-gers,Parti socialiste,"42,57%"
1544,Gérard Dubrac,2.0,-circonscription-gers,UMP,"20,83%"
1545,Michel Gabas,2.0,-circonscription-gers,Parti radical valoisien,"13,03%"
1546,Thierry Umber,2.0,-circonscription-gers,Rassemblement bleu Marine,"10,55%"
1547,Bruno Gabriel,2.0,-circonscription-gers,Front de gauche,"5,69%"
1548,Françoise Dubos,2.0,-circonscription-gers,EELV,"3,59%"
1549,France Joubert,2.0,-circonscription-gers,Le Centre pour la France,"1,44%"
1550,Bruno Dienot,2.0,-circonscription-gers,Debout la République,"1,19%"
1551,Gaël Schultz,2.0,-circonscription-gers,NPA,"0,70%"
1552,Anne Bourguignon,2.0,-circonscription-gers,Lutte ouvrière,"0,40%"
1553,Chantal Bourrague,1.0,-circonscription-gironde,UMP,"40,22%"
1554,Sandrine Doucet,1.0,-circonscription-gironde,Parti socialiste,"39,16%"
1555,Catherine Bouilhet,1.0,-circonscription-gironde,Rassemblement bleu Marine,"8,45%"
1556,Vincent Maurin,1.0,-circonscription-gironde,Front de gauche,"4,95%"
1557,Alexandre Marsat,1.0,-circonscription-gironde,EELV,"4,29%"
1558,Isabelle Larroquet,1.0,-circonscription-gironde,NPA,"0,74%"
1559,Marie-Pierre Mauhourat,1.0,-circonscription-gironde,MEI,"0,61%"
1560,Olivier Rachet,1.0,-circonscription-gironde,"
									Bordeaux à gauche									","0,47%"
1561,Corinne Gireau,1.0,-circonscription-gironde,Parti pirate,"0,44%"
1562,Mohamed Akrout,1.0,-circonscription-gironde,Alliance écologiste indépendante,"0,39%"
1563,Denis Lacoste,1.0,-circonscription-gironde,Lutte ouvrière,"0,27%"
1564,Michèle Delaunay,2.0,-circonscription-gironde,Parti socialiste,"43,50%"
1565,Nicolas Florian,2.0,-circonscription-gironde,UMP,"34,28%"
1566,Brigitte Comard,2.0,-circonscription-gironde,Front de gauche,"7,14%"
1567,Marie-Claude Noël,2.0,-circonscription-gironde,EELV,"6,24%"
1568,François Jay,2.0,-circonscription-gironde,Rassemblement bleu Marine,"5,77%"
1569,Valérie Peny,2.0,-circonscription-gironde,NPA,"0,79%"
1570,Julie Donnet,2.0,-circonscription-gironde,Alliance écologiste indépendante,"0,54%"
1571,Christophe Bugeau,2.0,-circonscription-gironde,Debout la République,"0,53%"
1572,Jean-Marc Ferrari,2.0,-circonscription-gironde,MEI,"0,44%"
1573,Stéphane Boudy,2.0,-circonscription-gironde,"
									Bordeaux à gauche									","0,30%"
1574,Guy Dupont,2.0,-circonscription-gironde,Lutte ouvrière,"0,27%"
1575,Daniel Menuet,2.0,-circonscription-gironde,Solidarité & Progrès,"0,19%"
1576,Noël Mamère,3.0,-circonscription-gironde,EELV,"51,98%"
1577,Agnès Nedelec-Befve,3.0,-circonscription-gironde,Parti chrétien démocrate,"14,50%"
1578,Céline Simon,3.0,-circonscription-gironde,Front de gauche,"10,76%"
1579,Bruno Paluteau,3.0,-circonscription-gironde,Rassemblement bleu Marine,"9,21%"
1580,Bernard Debuc,3.0,-circonscription-gironde,Le Centre pour la France,"8,27%"
1581,Maud Andrieux,3.0,-circonscription-gironde,"
									Bordeaux à gauche									","1,68%"
1582,Alain Mourguy,3.0,-circonscription-gironde,Alliance écologiste indépendante,"1,30%"
1583,Marie Fauré,3.0,-circonscription-gironde,NPA,"1,12%"
1584,Jean-Luc Venture,3.0,-circonscription-gironde,Parti ouvrier indépendant,"0,51%"
1585,Pierre Pinto Bicho,3.0,-circonscription-gironde,Lutte ouvrière,"0,45%"
1586,Christophe Martins,3.0,-circonscription-gironde,Parti pirate,"0,21%"
1587,Conchita Lacuey,4.0,-circonscription-gironde,Parti socialiste,"49,78%"
1588,Anne-Lise Jacquet,4.0,-circonscription-gironde,Divers droite,"19,00%"
1589,Philippe BAconnet,4.0,-circonscription-gironde,Rassemblement bleu Marine,"15,77%"
1590,Alexandra Meynard,4.0,-circonscription-gironde,Front de gauche,"7,87%"
1591,Paula Knibbs,4.0,-circonscription-gironde,EELV,"3,80%"
1592,Monique Blüge,4.0,-circonscription-gironde,Parti radical valoisien,"1,27%"
1593,Christine Heraud,4.0,-circonscription-gironde,NPA,"0,94%"
1594,Michel Rittling,4.0,-circonscription-gironde,Alliance écologiste indépendante,"0,88%"
1595,Anne-Isabelle Brivary,4.0,-circonscription-gironde,Lutte ouvrière,"0,70%"
1596,Pascale Got,5.0,-circonscription-gironde,Parti socialiste,"45,37%"
1597,David Gordon-Krief,5.0,-circonscription-gironde,UMP,"22,73%"
1598,Jacques Colombier,5.0,-circonscription-gironde,Rassemblement bleu Marine,"15,40%"
1599,Stéphane Le Bot,5.0,-circonscription-gironde,Front de gauche,"4,40%"
1600,Stéphane Saubusse,5.0,-circonscription-gironde,EELV,"2,73%"
1601,Jean-Marc Lasserre,5.0,-circonscription-gironde,CPNT,"2,70%"
1602,Jean-Louis Albentosa,5.0,-circonscription-gironde,Le Centre pour la France,"2,38%"
1603,Philippe Poutou,5.0,-circonscription-gironde,NPA,"2,12%"
1604,Jean Claude Martin,5.0,-circonscription-gironde,Parti radical valoisien,"0,89%"
1605,Martine Rodriguez,5.0,-circonscription-gironde,Debout la République,"0,57%"
1606,Géraldine da Cunha,5.0,-circonscription-gironde,Alliance écologiste indépendante,"0,48%"
1607,Marouani Ben Hadj Salem,5.0,-circonscription-gironde,Lutte ouvrière,"0,22%"
1608,Marie Recalde,6.0,-circonscription-gironde,Parti socialiste,"48,22%"
1609,Thierry Millet,6.0,-circonscription-gironde,Nouveau centre,"25,33%"
1610,Jean-Luc Aupetit,6.0,-circonscription-gironde,Rassemblement bleu Marine,"9,99%"
1611,Joël Saintier,6.0,-circonscription-gironde,Front de gauche,"5,27%"
1612,Gérard Chausset,6.0,-circonscription-gironde,EELV,"4,43%"
1613,Pierre Braun,6.0,-circonscription-gironde,Le Centre pour la France,"3,49%"
1614,Bernard Gonzalez,6.0,-circonscription-gironde,Debout la République,"1,11%"
1615,Philippe Rouzé,6.0,-circonscription-gironde,NPA,"0,64%"
1616,Sylvie Ferrari,6.0,-circonscription-gironde,MEI,"0,62%"
1617,Juliette Toubiana,6.0,-circonscription-gironde,Alliance écologiste indépendante,"0,47%"
1618,Nelly Malaty,6.0,-circonscription-gironde,Lutte ouvrière,"0,42%"
1619,Alain Rousset,7.0,-circonscription-gironde,Parti socialiste,"55,52%"
1620,Amel Khattabi,7.0,-circonscription-gironde,UMP,"19,58%"
1621,Gérard Aupetit,7.0,-circonscription-gironde,Rassemblement bleu Marine,"9,05%"
1622,Aurélia Sourbe,7.0,-circonscription-gironde,Front de gauche,"5,02%"
1623,Laure Curvale,7.0,-circonscription-gironde,EELV,"4,82%"
1624,Frédérique Lucas,7.0,-circonscription-gironde,Nouveau centre,"2,40%"
1625,Christelle Lapouge,7.0,-circonscription-gironde,Parti radical valoisien,"1,62%"
1626,Isabelle Ufferte,7.0,-circonscription-gironde,NPA,"0,84%"
1627,Regine Bertrand,7.0,-circonscription-gironde,Cap21,"0,64%"
1628,Guillaume Perchet,7.0,-circonscription-gironde,Lutte ouvrière,"0,29%"
1629,Jean-Pierre Lavaud,7.0,-circonscription-gironde,Parti ouvrier indépendant,"0,23%"
1630,Yves Foulon,8.0,-circonscription-gironde,UMP,"38,07%"
1631,Nathalie Le Yondre,8.0,-circonscription-gironde,Parti socialiste,"36,05%"
1632,Lydie Croizier,8.0,-circonscription-gironde,Rassemblement bleu Marine,"10,76%"
1633,Alain Rigolet,8.0,-circonscription-gironde,Divers droite,"4,29%"
1634,Vital Baude,8.0,-circonscription-gironde,EELV,"3,65%"
1635,Mélisande Elias,8.0,-circonscription-gironde,Front de gauche,"3,42%"
1636,Jean-Louis Apecarena,8.0,-circonscription-gironde,MRC,"0,74%"
1637,Elisabeth Rezer-Sandillon,8.0,-circonscription-gironde,Cap21,"0,67%"
1638,Christian Meynard,8.0,-circonscription-gironde,Alliance écologiste indépendante,"0,65%"
1639,France Sibert,8.0,-circonscription-gironde,Debout la République,"0,62%"
1640,Monique Nicolas,8.0,-circonscription-gironde,NPA,"0,44%"
1641,Marie-Elise Lorblancher,8.0,-circonscription-gironde,Parti chrétien démocrate,"0,36%"
1642,Solange Texier,8.0,-circonscription-gironde,Lutte ouvrière,"0,28%"
1643,Gilles Savary,9.0,-circonscription-gironde,Parti socialiste,"40,88%"
1644,Maxime Sibé,9.0,-circonscription-gironde,UMP,"23,23%"
1645,Pierre Augey,9.0,-circonscription-gironde,Front de gauche,"12,38%"
1646,Valérie Colombier,9.0,-circonscription-gironde,Rassemblement bleu Marine,"11,34%"
1647,Sophie Mette,9.0,-circonscription-gironde,Le Centre pour la France,"3,79%"
1648,Yann Persillon,9.0,-circonscription-gironde,EELV,"3,47%"
1649,Gaël Leroux,9.0,-circonscription-gironde,CPNT,"1,57%"
1650,Guillaume Besset,9.0,-circonscription-gironde,Alliance écologiste indépendante,"0,81%"
1651,Martine Hostier,9.0,-circonscription-gironde,Debout la République,"0,75%"
1652,Hervé Riou,9.0,-circonscription-gironde,NPA,"0,63%"
1653,Jean-Philippe Delcamp,9.0,-circonscription-gironde,Lutte ouvrière,"0,59%"
1654,Alain Jeanmougin,9.0,-circonscription-gironde,Parti pirate,"0,41%"
1655,Gérard Laguérie,9.0,-circonscription-gironde,Alliance royale,"0,17%"
1656,Florent Boudié,10.0,-circonscription-gironde,Parti socialiste,"36,96%"
1657,Jean-Paul Garraud,10.0,-circonscription-gironde,UMP,"32,22%"
1658,Anne Christine Royal,10.0,-circonscription-gironde,Rassemblement bleu Marine,"15,74%"
1659,Marie-Laurence Arnaud,10.0,-circonscription-gironde,Front de gauche,"5,67%"
1660,Pascal Bourgois,10.0,-circonscription-gironde,EELV,"3,24%"
1661,Marie-Thérèse Alonso,10.0,-circonscription-gironde,Alliance écologiste indépendante,"2,03%"
1662,François Mas,10.0,-circonscription-gironde,MRC,"1,66%"
1663,Françoise Lorblancher,10.0,-circonscription-gironde,Parti chrétien démocrate,"0,59%"
1664,Francisca Loembet,10.0,-circonscription-gironde,Debout la République,"0,55%"
1665,Virginie Dole,10.0,-circonscription-gironde,NPA,"0,55%"
1666,Monique Oratto,10.0,-circonscription-gironde,Lutte ouvrière,"0,41%"
1667,Marie José Marcelli,10.0,-circonscription-gironde,MNR,"0,37%"
1668,Laurent Ignace Saint-Huile,10.0,-circonscription-gironde,Parti du vote blanc,"0,00%"
1669,Philippe Plisson,11.0,-circonscription-gironde,Parti socialiste,"46,56%"
1670,Jean-Franck Blanc,11.0,-circonscription-gironde,UMP,"20,33%"
1671,Pierre Dinet,11.0,-circonscription-gironde,Rassemblement bleu Marine,"17,16%"
1672,Véronique Lavaud,11.0,-circonscription-gironde,Front de gauche,"5,07%"
1673,Alain Guillaume Montangon,11.0,-circonscription-gironde,Le Centre pour la France,"4,34%"
1674,Michèle Bechet,11.0,-circonscription-gironde,EELV,"2,40%"
1675,Laurent Fouco,11.0,-circonscription-gironde,Debout la République,"1,64%"
1676,Yves Montaud,11.0,-circonscription-gironde,Alliance écologiste indépendante,"0,73%"
1677,Nathalie Vigier,11.0,-circonscription-gironde,NPA,"0,63%"
1678,Marie Humbert,11.0,-circonscription-gironde,Lutte ouvrière,"0,56%"
1679,Christian Baque,11.0,-circonscription-gironde,Parti ouvrier indépendant,"0,42%"
1680,Françoise Besset-Louis,11.0,-circonscription-gironde,Parti libéral démocrate,"0,17%"
1681,Martine Faure,12.0,-circonscription-gironde,Parti socialiste,"43,73%"
1682,Yves D'Amécourt,12.0,-circonscription-gironde,UMP,"28,07%"
1683,Gonzague Malherbe,12.0,-circonscription-gironde,Rassemblement bleu Marine,"11,79%"
1684,Michel Hilaire,12.0,-circonscription-gironde,Front de gauche,"7,88%"
1685,Dominique Jobard,12.0,-circonscription-gironde,EELV,"3,09%"
1686,Frédéric Lataste,12.0,-circonscription-gironde,Parti radical valoisien,"2,62%"
1687,Marie-Pierre Fougeret,12.0,-circonscription-gironde,Alliance écologiste indépendante,"0,79%"
1688,Marie-Ange Lorblancher,12.0,-circonscription-gironde,Parti chrétien démocrate,"0,68%"
1689,Laurent Delage,12.0,-circonscription-gironde,NPA,"0,57%"
1690,Françoise Dautun,12.0,-circonscription-gironde,Debout la République,"0,47%"
1691,Zina Ahmimou,12.0,-circonscription-gironde,Lutte ouvrière,"0,31%"
1692,Christian Jeanjean,1.0,-circonscription-herault,UMP,"26,63%"
1693,Jean-Louis Roumegas,1.0,-circonscription-herault,EELV,"26,55%"
1694,Alain Jamet,1.0,-circonscription-herault,Rassemblement bleu Marine,"18,12%"
1695,Cyril Meunier,1.0,-circonscription-herault,Divers gauche,"12,69%"
1696,Frédérique Thonnat,1.0,-circonscription-herault,Front de gauche,"7,14%"
1697,Charles Khoury,1.0,-circonscription-herault,Divers gauche,"2,46%"
1698,Martine Plane,1.0,-circonscription-herault,Le centre pour la France,"1,47%"
1699,Patrice Drevet,1.0,-circonscription-herault,Parti radical valoisien,"1,40%"
1700,Gaëlle Coulon,1.0,-circonscription-herault,Le Trèfle,"1,10%"
1701,Francis Viguié,1.0,-circonscription-herault,NPA,"0,67%"
1702,Géraldine Mena-Heredia,1.0,-circonscription-herault,Alliance écologiste indépendante,"0,67%"
1703,Joëlle Comte,1.0,-circonscription-herault,Debout la République,"0,55%"
1704,Jean-Baka Domelevo,1.0,-circonscription-herault,Lutte ouvrière,"0,33%"
1705,José Tur,1.0,-circonscription-herault,La ligue du Midi,"0,22%"
1706,Anne-Yvonne Le Dain,2.0,-circonscription-herault,Parti socialiste,"39,32%"
1707,Anne Brissaud,2.0,-circonscription-herault,Parti radical Valoisien,"19,98%"
1708,René Revol,2.0,-circonscription-herault,Front de gauche,"12,66%"
1709,Yamina Vion,2.0,-circonscription-herault,Rassemblement bleu Marine,"11,23%"
1710,Mustapha Majdoul,2.0,-circonscription-herault,EELV,"6,60%"
1711,Joseph Francis,2.0,-circonscription-herault,Divers droite,"3,96%"
1712,Alain Privat,2.0,-circonscription-herault,Le Centre pour la France,"2,30%"
1713,Eric Schmitt,2.0,-circonscription-herault,Alliance écologiste indépendante,"1,01%"
1714,Mohamed Haddouti,2.0,-circonscription-herault,Sans étiquette,"0,75%"
1715,Martine Granier,2.0,-circonscription-herault,NPA,"0,71%"
1716,Romain Mauger,2.0,-circonscription-herault,Parti pirate,"0,70%"
1717,Maurice Chaynes,2.0,-circonscription-herault,Lutte ouvrière,"0,33%"
1718,Jean-Pierre Sparfel,2.0,-circonscription-herault,Parti ouvrier indépendant,"0,24%"
1719,Carole Meyer,2.0,-circonscription-herault,"
									Mouvement anti-radar									","0,22%"
1720,Nicolas Jacot,2.0,-circonscription-herault,Parti radical de gauche,"0,00%"
1721,Mickaël Milhorne,2.0,-circonscription-herault,Sans étiquette,"0,00%"
1722,Jérôme Dardouillet,2.0,-circonscription-herault,"
									Nouveau Tiers Etat									","0,00%"
1723,Fanny Dombre Coste,3.0,-circonscription-herault,Parti socialiste,"33,95%"
1724,Jean-Pierre Grand,3.0,-circonscription-herault,UMP,"17,35%"
1725,Alain Berthet,3.0,-circonscription-herault,Divers droite,"16,13%"
1726,Jean-Luc Bouchereau,3.0,-circonscription-herault,Rassemblement bleu Marine,"15,88%"
