year,Departement,Parti,Score
1988.0,loire-atlantique,EG,13.52
1988.0,loire-atlantique,G,36.79
1988.0,loiret,C,18.28
1988.0,loiret,D,21.02
1988.0,loiret,ED,14.92
1988.0,loiret,EG,13.95
1988.0,loiret,G,31.83
1988.0,lot,C,12.12
1988.0,lot,D,23.83
1988.0,lot,ED,8.34
1988.0,lot,EG,16.95
1988.0,lot,G,38.77
1988.0,lot-et-garonne,C,16.04
1988.0,lot-et-garonne,D,18.53
1988.0,lot-et-garonne,ED,15.41
1988.0,lot-et-garonne,EG,16.38
1988.0,lot-et-garonne,G,33.63
1988.0,lozere,C,21.59
1988.0,lozere,D,26.93
1988.0,lozere,ED,11.63
1988.0,lozere,EG,13.0
1988.0,lozere,G,26.84
1988.0,maine-et-loire,C,24.28
1988.0,maine-et-loire,D,22.06
1988.0,maine-et-loire,ED,9.53
1988.0,maine-et-loire,EG,11.52
1988.0,maine-et-loire,G,32.63
1988.0,manche,C,20.88
1988.0,manche,D,23.26
1988.0,manche,ED,10.78
1988.0,manche,EG,11.31
1988.0,manche,G,33.78
1988.0,marne,C,17.21
1988.0,marne,D,20.49
1988.0,marne,ED,14.03
1988.0,marne,EG,13.66
1988.0,marne,G,34.61
1988.0,martinique,C,16.35
1988.0,martinique,D,19.86
1988.0,martinique,ED,1.17
1988.0,martinique,EG,3.75
1988.0,martinique,G,58.87
1988.0,mayenne,C,23.41
1988.0,mayenne,D,24.13
1988.0,mayenne,ED,8.21
1988.0,mayenne,EG,10.62
1988.0,mayenne,G,33.64
1988.0,mayotte,C,54.87
1988.0,mayotte,D,36.89
1988.0,mayotte,ED,1.29
1988.0,mayotte,EG,2.94
1988.0,mayotte,G,4.01
1988.0,meurthe-et-moselle,C,17.98
1988.0,meurthe-et-moselle,D,15.63
1988.0,meurthe-et-moselle,ED,14.85
1988.0,meurthe-et-moselle,EG,16.46
1988.0,meurthe-et-moselle,G,35.09
1988.0,meuse,C,18.42
1988.0,meuse,D,18.06
1988.0,meuse,ED,15.0
1988.0,meuse,EG,13.4
1988.0,meuse,G,35.13
1988.0,morbihan,C,19.67
1988.0,morbihan,D,19.92
